No,Title,Link,Description,Query,Source,Exported_At
1,"GST Reforms in India: New Rates, Slabs and Key Changes in 2025",https://cleartax.in/s/next-generation-gst-reforms,"India's GST reforms 2025: new tax rates, fewer slabs, and structural fixes—timeline, key takeaways, and impact on businesses, MSMEs, and consumers.",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
2,"PHDCCI Flags Credit, Compliance Reforms to Boost MSMEs in Union Budget 2026–27",https://www.republicworld.com/business/phdcci-flags-credit-compliance-reforms-to-boost-msmes-in-union-budget-202627,"Industry body PHDCCI has outlined a set of proposals for the Union Budget 2026–27 aimed at strengthening India's MSME sector through cheaper credit,...",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
3,"What changed for MSMEs in 2025, and what they expect in 2026",https://smefutures.com/what-changed-for-msmes-in-2025-and-what-they-expect-in-2026/,"For India's MSMEs, 2025 will be remembered as a year of change. Demand held up in several sectors, digital adoption accelerated, and policy intent remained...",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
4,"Export trade finance in India 2025: liquidity, risk management and MSME funding evolve",https://www.oneindia.com/msme/india-export-trade-finance-2025-liquidity-digital-platforms-msmes-011-7955494.html,"Analysis of India's export trade finance in 2025, highlighting liquidity gaps, digital platforms like TReDS, and the shift toward risk-aware funding for...",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
5,2025: How economic reforms are building a future-ready India,https://www.governancenow.com/news/regular-story/2025-how-economic-reforms-are-building-a-futureready-india,"Focus on outcome-driven governance, simplifying systems, and boosting growth, inclusivity, and ease of doing business.",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
6,2025 Economic Reforms,https://www.pib.gov.in/PressReleasePage.aspx%3FPRID%3D2209734%26reg%3D3%26lang%3D1,"2025 Economic reforms focused on outcome-driven governance, simplifying systems, and boosting growth, inclusivity, and ease of doing business.",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
7,"India's 2025 Reforms: Tax-Free Up to Rs 12L, 125-Day Rural Jobs Guarantee",https://www.republicworld.com/business/india-s-2025-reforms-tax-free-up-to-rs-12l-125-day-rural-jobs-guarantee,"2025 reforms prioritize outcomes: tax-free income to Rs 12L (Rs 12.75L salaried), new Income Tax Act, 4 Labour Codes for gig workers, 125-day rural jobs via...",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
8,2025 in review: Wins and woes for Indian startups and MSMEs — What’s next in 2026? - ET Edge Insights,https://etedge-insights.com/industry/2025-in-review-wins-and-woes-for-indian-startups-and-msmes-whats-next-in-2026/,"With 2025 winding down, India's entrepreneurial landscape is now facing an inflection point, marked by challenges and opportunities.",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
9,Indian MSMEs and 2025 – The Hits and Misses,https://www.smetimes.in/smetimes/editorial/2025/Dec/24/indian-msmes-hits-and-misses-2025.html,"As someone who closely associates with our MSMEs, I have spent this year monitoring developments that shaped the year for our small businesses.",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
10,"Indian MSMEs End 2025 Facing Tariffs, Cash Delays And Credit Stress",https://www.businessworld.in/article/india-msmes-end-2025-facing-tariffs-cash-delays-and-credit-stress-584645,"India's MSMEs end 2025 under sustained pressure as US tariffs, delayed payments and tight credit erode cash flows and limit growth.",India MSME compliance 2025,GoogleNews,2026-02-01 12:12:51
